date,state,deaths_new,cumul_full,population,cumul_partial,percentage_vax_partial,percentage_vax_full
January,Johor,0,0,3781000,0,0,0
January,Kedah,0,0,2185100,0,0,0
January,Kelantan,0,0,1906700,0,0,0
January,Melaka,0,0,932700,0,0,0
January,Negeri Sembilan,1,0,1128800,0,0,0
January,Pahang,0,0,1678700,0,0,0
January,Perak,0,0,2510300,0,0,0
January,Perlis,0,0,254900,0,0,0
January,Pulau Pinang,0,0,1773600,0,0,0
January,Sabah,0,0,3908500,0,0,0
January,Sarawak,0,0,2816500,0,0,0
January,Selangor,1,0,6538000,0,0,0
January,Terengganu,0,0,1259300,0,0,0
January,W.P. Labuan,0,0,99600,0,0,0
February,Johor,1,0,3781000,0,0,0
February,Kedah,0,0,2185100,0,0,0
February,Kelantan,0,0,1906700,0,0,0
February,Melaka,1,0,932700,0,0,0
February,Negeri Sembilan,3,0,1128800,0,0,0
February,Pahang,0,0,1678700,0,0,0
February,Perak,1,0,2510300,0,0,0
February,Perlis,0,0,254900,0,0,0
February,Pulau Pinang,0,0,1773600,0,0,0
February,Sabah,0,0,3908500,0,0,0
February,Sarawak,1,0,2816500,0,0,0
February,Selangor,1,0,6538000,0,0,0
February,Terengganu,1,0,1259300,0,0,0
February,W.P. Labuan,1,0,99600,0,0,0
March,Johor,0,0,3781000,3054,0.080772282,0
March,Kedah,0,0,2185100,1898,0.086861013,0
March,Kelantan,0,0,1906700,1960,0.102795406,0
March,Melaka,1,0,932700,432,0.046317144,0
March,Negeri Sembilan,0,1,1128800,586,0.051913536,8.86E-05
March,Pahang,0,1,1678700,3970,0.236492524,5.96E-05
March,Perak,0,1,2510300,3143,0.125204159,3.98E-05
March,Perlis,0,0,254900,524,0.205570812,0
March,Pulau Pinang,0,1,1773600,789,0.044485792,5.64E-05
March,Sabah,2,0,3908500,1168,0.029883587,0
March,Sarawak,0,4,2816500,9896,0.351358069,0.00014202
March,Selangor,0,1,6538000,1082,0.016549403,1.53E-05
March,Terengganu,0,0,1259300,485,0.03851346,0
March,W.P. Labuan,0,0,99600,951,0.954819277,0
April,Johor,1,18735,3781000,39667,1.049113991,0.495503835
April,Kedah,0,15351,2185100,30393,1.390920324,0.702530777
April,Kelantan,1,15629,1906700,22584,1.184454817,0.819688467
April,Melaka,0,6867,932700,13724,1.47142704,0.736249598
April,Negeri Sembilan,0,10662,1128800,24732,2.190999291,0.944542877
April,Pahang,0,18597,1678700,33777,2.012092691,1.107821529
April,Perak,0,20743,2510300,50061,1.994223798,0.82631558
April,Perlis,0,5623,254900,9887,3.878775991,2.205963123
April,Pulau Pinang,0,11879,1773600,33379,1.88199143,0.669767704
April,Sabah,1,22328,3908500,47503,1.215376743,0.57126775
April,Sarawak,2,25993,2816500,49747,1.766270194,0.922883011
April,Selangor,0,28781,6538000,67861,1.037947385,0.440211074
April,Terengganu,0,13333,1259300,24671,1.959104264,1.058762805
April,W.P. Labuan,0,2294,99600,2497,2.507028112,2.303212851
May,Johor,0,47687,3781000,78814,2.084475007,1.261227189
May,Kedah,0,32953,2185100,58501,2.677268775,1.508077434
May,Kelantan,1,24613,1906700,43686,2.291183721,1.290869041
May,Melaka,0,16382,932700,31263,3.351881634,1.756406133
May,Negeri Sembilan,1,29493,1128800,38979,3.453136074,2.612774628
May,Pahang,0,35716,1678700,62171,3.703520581,2.127598737
May,Perak,0,51976,2510300,71810,2.860614269,2.070509501
May,Perlis,0,9932,254900,17337,6.801490781,3.896429973
May,Pulau Pinang,2,34554,1773600,64058,3.611750113,1.948240866
May,Sabah,1,53985,3908500,76084,1.946629142,1.381220417
May,Sarawak,2,60308,2816500,94820,3.366589739,2.141239127
May,Selangor,5,72805,6538000,118155,1.807204038,1.11356684
May,Terengganu,1,25975,1259300,35993,2.858175177,2.062653855
May,W.P. Labuan,0,3244,99600,9310,9.347389558,3.257028112
June,Johor,8,98011,3781000,187294,4.95355726,2.592197831
June,Kedah,3,70241,2185100,127793,5.848382225,3.214543957
June,Kelantan,5,55051,1906700,97597,5.11863429,2.887239734
June,Melaka,4,36433,932700,49804,5.33976627,3.906186341
June,Negeri Sembilan,2,55965,1128800,77183,6.837615167,4.957919915
June,Pahang,1,79235,1678700,104983,6.253827366,4.720021445
June,Perak,2,105221,2510300,161940,6.45102179,4.191570729
June,Perlis,0,19102,254900,31919,12.52216556,7.493919184
June,Pulau Pinang,1,73563,1773600,94623,5.335081191,4.147665765
June,Sabah,1,87659,3908500,140776,3.601790968,2.24277856
June,Sarawak,7,115332,2816500,198783,7.057802237,4.094869519
June,Selangor,28,141743,6538000,283316,4.333374121,2.167987152
June,Terengganu,2,49544,1259300,78557,6.238148178,3.934249186
June,W.P. Labuan,1,11697,99600,14002,14.05823293,11.7439759
July,Johor,6,256891,3781000,459764,12.15985189,6.794260778
July,Kedah,0,186315,2185100,241067,11.03230973,8.526612054
July,Kelantan,0,143130,1906700,224687,11.7840772,7.506686946
July,Melaka,4,70682,932700,146161,15.67074086,7.578213788
July,Negeri Sembilan,6,98439,1128800,191334,16.95021262,8.720676825
July,Pahang,2,139686,1678700,222047,13.22731876,8.321081789
July,Perak,0,214986,2510300,333222,13.27419034,8.564155679
July,Perlis,0,41758,254900,67973,26.6665359,16.38211063
July,Pulau Pinang,0,128985,1773600,307091,17.31455796,7.272496617
July,Sabah,5,207816,3908500,393884,10.07762569,5.317026992
July,Sarawak,4,259219,2816500,1190401,42.2652583,9.203586011
July,Selangor,46,317464,6538000,1009314,15.43765678,4.855674518
July,Terengganu,1,90828,1259300,162309,12.88882713,7.212578417
August,Johor,14,459551,3781000,1148439,30.37394869,12.15421846
August,Kelantan,4,256836,1906700,468069,24.54864425,13.47018409
August,Melaka,10,183320,932700,335233,35.94221079,19.65476573
August,Negeri Sembilan,14,305634,1128800,592123,52.45597094,27.07600992
August,Pahang,8,265085,1678700,501529,29.87603503,15.79108834
August,Perak,4,475116,2510300,770960,30.71186711,18.92666215
August,Perlis,0,77346,254900,112857,44.27500981,30.34366418
August,Pulau Pinang,6,306123,1773600,770481,43.44164411,17.2599797
August,Sabah,7,407735,3908500,890626,22.78690035,10.43200716
August,Sarawak,0,1391304,2816500,1791578,63.61008344,49.39833126
August,Selangor,55,1322171,6538000,3448456,52.74481493,20.22286632
August,Terengganu,3,216050,1259300,349598,27.76129596,17.15635671
August,W.P. Labuan,0,56534,99600,67690,67.96184739,56.76104418
September,Johor,37,1323812,3781000,2173417,57.4825972,35.01221899
September,Kedah,22,726799,2185100,1112289,50.90334538,33.26158986
September,Kelantan,4,589143,1906700,809708,42.46646038,30.89856821
September,Melaka,9,401309,932700,559584,59.99614024,43.02658947
September,Negeri Sembilan,3,651508,1128800,788073,69.81511339,57.71686747
September,Pahang,3,614629,1678700,778407,46.36963126,36.61339131
September,Perak,18,902198,2510300,1276369,50.84527746,35.93984783
September,Perlis,2,124164,254900,159163,62.44134955,48.71086701
September,Pulau Pinang,13,792610,1773600,1160833,65.45066531,44.68933243
September,Sabah,38,1133822,3908500,1666942,42.64914929,29.00913394
September,Sarawak,7,1787183,2816500,1859904,66.03600213,63.4540387
September,Selangor,110,3521942,6538000,4043780,61.85041297,53.8687978
September,Terengganu,3,413464,1259300,681568,54.12276662,32.83284364
September,W.P. Labuan,0,65569,99600,70790,71.07429719,65.83232932
